ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,5913,155.77509,2316.687,-118.96875,100,CTSpawn,Jimpphat,76561198855375325,ct,weapon_knife_karambit,1
ct,false,t,5939,679.1949,2264.6729,-68.45178,100,UnderA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,false,t,5967,783.5934,2288.121,-39.273254,100,UnderA,Brollan,76561198138828475,ct,weapon_knife_karambit,1
ct,false,t,6012,-164.41315,2169.439,-126.145325,100,CTSpawn,Jimpphat,76561198855375325,ct,weapon_knife_karambit,1
ct,false,t,6065,1004.96875,2379.967,28.125,100,UnderA,Brollan,76561198138828475,ct,weapon_smokegrenade,1
ct,false,t,6659,572.03326,-395.88263,11.765625,100,OutsideLong,pr1metapz,76561198158709510,t,weapon_flashbang,1
ct,true,t,6809,1277.8953,1203.5367,1.0312481,100,LongA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,6817,572.0317,-394.13507,22.375,100,OutsideLong,pr1metapz,76561198158709510,t,weapon_smokegrenade,1
ct,false,t,6824,651.07227,879.73364,-0.22607422,100,LongDoors,nawwk,76561198153651861,t,weapon_glock,1
ct,false,t,6836,651.66595,880.89355,-0.2390747,100,LongDoors,nawwk,76561198153651861,t,weapon_glock,1
ct,false,t,6842,1528.2574,1872.3252,-8.115173,100,LongA,Brollan,76561198138828475,ct,weapon_flashbang,1
ct,false,t,6930,9.820701,2132.483,-127.66815,100,CTSpawn,Spinx,76561198063336407,ct,weapon_knife_karambit,1
ct,false,t,6979,200.51965,2148.92,-124.40997,100,CTSpawn,Spinx,76561198063336407,ct,weapon_knife_karambit,1
ct,false,t,7013,332.84137,2160.3252,-125.239075,100,CTSpawn,Spinx,76561198063336407,ct,weapon_knife_karambit,1
ct,false,t,7043,372.9491,-231.35327,3.5625,100,OutsideLong,pr1metapz,76561198158709510,t,weapon_flashbang,1
ct,true,t,7300,-658.3391,2549.7502,-81.57538,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,7327,-658.3391,2549.7502,-81.57538,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,false,t,7411,-647.9413,2550.25,-81.72418,100,MidDoors,xertioN,76561198193174134,ct,weapon_hegrenade,1
ct,false,t,7548,-232.56305,1085.9147,32.03125,8,Catwalk,CacaNito,76561198263656468,t,weapon_glock,1
ct,true,t,7554,-664.5769,2539.843,-80.65674,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,false,t,7558,-201.65192,1104.6589,31.15625,8,Catwalk,CacaNito,76561198263656468,t,weapon_glock,1
ct,false,t,7558,-257.91742,899.3322,32.05288,100,Catwalk,pr1metapz,76561198158709510,t,weapon_glock,1
ct,false,t,7576,-250.3003,907.5542,32.05288,100,Catwalk,pr1metapz,76561198158709510,t,weapon_glock,1
ct,true,t,7672,520.8634,2067.8594,127.21993,100,ExtendedA,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,true,t,7675,-604.156,2430.2588,-91.47937,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,false,t,7676,294.875,1511.7139,1.9781799,100,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7679,565.9843,2410.5505,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7685,308.937,1531.8873,2.6312618,100,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7691,-557.9583,2392.937,-100.34271,100,MidDoors,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,false,t,7695,328.31076,1547.0846,3.124035,100,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7723,521.92395,2081.2983,127.12714,100,ExtendedA,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,true,t,7724,537.9892,2407.2207,127.117165,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7724,280.92157,1507.0658,1.8133159,85,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,false,t,7724,784.2171,2665.0789,95.47538,100,ExtendedA,Brollan,76561198138828475,ct,weapon_hegrenade,1
ct,false,t,7731,389.18713,1631.0171,19.829786,100,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,false,t,7734,294.4298,1508.661,1.8698983,85,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,7743,553.5842,2403.168,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,true,t,7764,527.0928,2079.6753,127.13834,100,ExtendedA,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,true,t,7766,601.6471,2402.3074,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7766,353.36365,1514.4198,2.0175886,85,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,false,t,7766,396.0353,1701.3564,68.92012,100,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,false,t,7776,398.24948,1710.2273,75.14204,85,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7781,593.31494,2412.5925,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7786,399.78903,1701.7015,69.16217,85,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7792,606.8018,2409.32,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7795,400.77222,1694.9015,64.392685,85,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,false,t,7805,403.51035,1689.2406,60.422203,85,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,false,t,7842,372.0429,1752.578,103.03124,64,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7844,626.8366,2635.6125,94.9712,78,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,false,t,7855,384.91504,1762.3104,103.03124,64,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7856,636.0352,2632.862,94.84856,78,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,false,t,7866,397.83426,1762.6083,103.03124,64,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7870,646.3776,2629.7341,94.71068,78,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,false,t,7881,407.99582,1767.157,103.24002,64,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7883,648.3001,2629.1714,94.68504,78,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,false,t,7893,402.01526,1769.2141,103.24002,50,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7895,640.4437,2631.3167,94.78979,78,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,false,t,7909,413.7648,1768.2732,103.24002,36,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7909,628.96704,2634.417,94.942795,78,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,true,t,7918,634.93134,2410.0056,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7923,421.0911,1771.3374,103.24002,34,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7923,615.05316,2637.9688,95.1247,78,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,true,t,7933,629.13824,2408.5125,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7936,425.5635,1773.0569,103.227295,19,ShortStairs,CYPHER,76561198251984554,t,weapon_glock,1
ct,true,t,7937,606.9432,2639.8218,95.19212,56,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,true,t,7944,628.4539,2408.7378,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7951,313.98322,2144.1316,-125.02191,100,CTSpawn,xertioN,76561198193174134,ct,weapon_flashbang,1
ct,true,t,7953,596.94147,2641.9011,95.230484,56,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,true,t,7955,622.63654,2410.5986,127.03125,100,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7964,334.50336,1710.488,63.10625,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,7973,627.30786,2408.8247,127.03125,89,ExtendedA,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,7973,340.76712,1708.8883,62.121803,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,7977,571.1903,2648.106,95.280846,56,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,false,t,7983,363.7276,1700.157,66.609886,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,false,t,7993,388.59036,1690.481,61.292175,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,7993,576.73706,2646.7642,95.22177,56,ExtendedA,Brollan,76561198138828475,ct,weapon_usp_silencer,1
ct,false,t,8041,400.31982,1721.6029,83.120766,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,false,t,8052,369.6147,1724.6825,85.280754,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,false,t,8064,362.2203,1724.0153,82.36612,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,false,t,8079,335.5575,1739.2606,80.81246,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,false,t,8091,329.28333,1745.2632,84.50635,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,8105,1308.8884,2037.2164,1.031249,100,LongA,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,true,t,8117,1323.8264,2035.0654,1.03125,100,LongA,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,true,t,8128,1316.6267,2026.4758,1.03125,100,LongA,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,true,t,8139,1310.3737,2017.2687,1.03125,100,LongA,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,8144,1315.7314,1683.791,24.859375,68,LongA,nawwk,76561198153651861,t,weapon_glock,1
ct,true,t,8150,1300.3123,2013.0593,1.03125,100,LongA,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,8155,280.26593,1862.0839,97.90056,41,ShortStairs,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,8161,1296.5834,2009.016,1.1383548,100,LongA,Spinx,76561198063336407,ct,weapon_usp_silencer,1
ct,false,t,8226,313.08157,1996.6853,99.03125,41,ExtendedA,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,8232,1127.0945,2216.9202,7.922344,100,UnderA,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,false,t,8236,312.7016,1998.3394,99.03126,41,ExtendedA,nexa,76561197999825422,t,weapon_glock,1
ct,false,t,8246,310.7039,2005.5725,98.63957,41,ExtendedA,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,8251,1363.3375,2317.581,13.137411,89,ARamp,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,true,t,8251,1122.572,2233.9768,9.806129,100,UnderA,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,false,t,8257,306.2969,2022.9537,97.41768,41,ExtendedA,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,8264,1123.3557,2231.3096,9.549425,100,UnderA,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,8269,1393.4885,2334.8784,12.885113,89,ARamp,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,8271,305.94757,2044.1255,96.8534,41,ExtendedA,nexa,76561197999825422,t,weapon_glock,1
ct,false,t,8280,306.0604,2046.585,96.881325,41,ExtendedA,nexa,76561197999825422,t,weapon_glock,1
ct,true,t,8281,1125.9937,2220.872,8.460674,100,UnderA,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,8286,1403.6915,2320.973,9.430642,89,ARamp,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,8296,384.671,2049.249,95.8132,100,ExtendedA,pr1metapz,76561198158709510,t,weapon_glock,1
ct,true,t,8302,1404.337,2318.6235,8.958899,89,ARamp,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,true,t,8303,1127.3185,2214.624,7.6572485,100,UnderA,xertioN,76561198193174134,ct,weapon_usp_silencer,1
ct,true,t,8318,1404.7411,2317.16,8.664772,89,ARamp,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,true,t,8333,1402.4244,2326.2322,10.465117,89,ARamp,torzsi,76561198355739212,ct,weapon_usp_silencer,1
ct,false,t,8401,-382.98938,1535.6698,-126.33081,100,MidDoors,Jimpphat,76561198855375325,ct,weapon_knife_karambit,1
ct,false,t,8433,-403.3175,1414.386,-126.77118,100,Middle,Jimpphat,76561198855375325,ct,weapon_knife_karambit,1
ct,false,t,10003,-875.92017,-739.8804,121.48151,100,TSpawn,nawwk,76561198153651861,t,weapon_knife_karambit,2
ct,false,t,10122,-1173.1512,-407.25018,131.01866,100,TSpawn,nawwk,76561198153651861,t,weapon_knife_karambit,2
ct,false,t,10148,1026.3984,2121.386,-1.2974243,100,UnderA,Brollan,76561198138828475,ct,weapon_knife_karambit,2
ct,false,t,10195,-599.1483,2169.1282,-120.14514,100,MidDoors,Jimpphat,76561198855375325,ct,weapon_knife_karambit,2
ct,false,t,10247,1285.0612,1917.3145,1.2253098,100,LongA,Brollan,76561198138828475,ct,weapon_knife_karambit,2
ct,false,t,10273,1285.9222,1816.0881,1.52497,100,LongA,Brollan,76561198138828475,ct,weapon_knife_karambit,2
ct,false,t,10319,-440.01276,1700.9836,-125.76837,100,MidDoors,Spinx,76561198063336407,ct,weapon_incgrenade,2
ct,false,t,10358,-1190.534,2298.4631,7.205182,100,BDoors,Jimpphat,76561198855375325,ct,weapon_incgrenade,2
ct,false,t,10489,1307.9279,1251.5734,1.03125,100,LongA,Brollan,76561198138828475,ct,weapon_incgrenade,2
ct,false,t,10700,1330.4362,1272.52,-2.7407837,100,LongA,Brollan,76561198138828475,ct,weapon_smokegrenade,2
ct,false,t,10802,-449.3777,1702.9941,-125.75519,100,MidDoors,Spinx,76561198063336407,ct,weapon_hegrenade,2
ct,false,t,11765,-161.1087,1395.9402,-0.23852539,100,Catwalk,torzsi,76561198355739212,ct,weapon_hegrenade,2
ct,false,t,14162,-1711.6152,1344.6493,40.871666,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14166,-1711.9447,1344.622,40.869877,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14167,-1676.7637,697.4825,31.453424,14,OutsideTunnel,pr1metapz,76561198158709510,t,weapon_glock,2
ct,false,t,14171,-1709.3715,1344.7407,40.877647,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14175,-1709.6803,1344.7247,40.876595,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14180,-1710.3523,1344.6891,40.874264,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14184,-1711.1184,1344.6465,40.87148,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14189,-1712.3594,1344.5634,40.866035,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14761,-1656.193,654.15546,31.953022,100,OutsideTunnel,CYPHER,76561198251984554,t,weapon_glock,2
ct,false,t,14784,-1719.1033,1342.9402,40.669724,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14788,-1712.3468,1343.9095,40.82325,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14792,-1656.0983,698.5553,31.816927,58,OutsideTunnel,CYPHER,76561198251984554,t,weapon_glock,2
ct,false,t,14793,-1713.1857,1344.0911,40.83513,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14797,-1717.5437,1343.8456,40.76097,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14799,-1663.2109,607.918,31.52197,55,OutsideTunnel,nexa,76561197999825422,t,weapon_p250,2
ct,false,t,14802,-1650.0858,701.27875,31.8585,58,OutsideTunnel,CYPHER,76561198251984554,t,weapon_glock,2
ct,false,t,14802,-1718.3507,1343.8469,40.746864,100,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14806,-1719.6967,1343.7024,40.712997,89,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14811,-1672.8801,607.44073,31.532576,55,OutsideTunnel,nexa,76561197999825422,t,weapon_p250,2
ct,false,t,14811,-1726.5001,1342.9845,40.627663,89,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14812,-1615.6647,679.96484,32.170498,95,OutsideTunnel,CacaNito,76561198263656468,t,weapon_glock,2
ct,false,t,14815,-1731.643,1342.449,40.566887,89,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14820,-1733.5337,1342.2808,40.536716,89,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14821,-1675.8943,607.32086,31.535242,55,OutsideTunnel,nexa,76561197999825422,t,weapon_p250,2
ct,false,t,14823,-1601.051,679.9676,32.170506,95,OutsideTunnel,CacaNito,76561198263656468,t,weapon_glock,2
ct,false,t,14824,-1737.4602,1342.3068,40.50737,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14829,-1741.5522,1343.6713,40.59543,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14830,-1678.7759,607.1488,31.539062,55,OutsideTunnel,nexa,76561197999825422,t,weapon_p250,2
ct,false,t,14833,-1745.1392,1345.5256,40.739246,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,true,t,14839,-1548.5872,1215.638,36.469154,100,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14843,-1596.3413,679.5704,32.169006,95,OutsideTunnel,CacaNito,76561198263656468,t,weapon_glock,2
ct,true,t,14845,-1559.5082,1219.2476,36.09961,100,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,true,t,14852,-1562.2996,1220.4366,36.018517,100,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14853,-1606.0686,677.5646,32.161453,95,OutsideTunnel,CacaNito,76561198263656468,t,weapon_glock,2
ct,true,t,14858,-1562.6665,1220.5101,36.003708,100,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14861,-1651.6377,608.8256,31.5018,55,OutsideTunnel,nexa,76561197999825422,t,weapon_p250,2
ct,true,t,14864,-1563.7495,1220.7103,35.95915,100,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14869,-1791.2443,1353.5787,40.385357,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14870,-1619.2517,674.4407,32.14969,95,OutsideTunnel,CacaNito,76561198263656468,t,weapon_glock,2
ct,true,t,14871,-1563.6766,1220.7013,35.96237,100,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14872,-1721.7557,478.6873,23.911312,66,OutsideTunnel,nawwk,76561198153651861,t,weapon_glock,2
ct,false,t,14873,-1793.9666,1353.8246,40.282516,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,true,t,14877,-1568.232,1221.566,35.83383,100,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14878,-1659.6718,611.48663,31.442669,55,OutsideTunnel,nexa,76561197999825422,t,weapon_p250,2
ct,false,t,14878,-1797.368,1354.9712,40.231537,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14882,-1799.9844,1356.2996,40.213673,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14883,-1614.9799,675.45917,32.15352,22,OutsideTunnel,CacaNito,76561198263656468,t,weapon_glock,2
ct,false,t,14884,-1732.0576,480.71307,25.250946,66,OutsideTunnel,nawwk,76561198153651861,t,weapon_glock,2
ct,true,t,14884,-1566.664,1221.2205,35.83782,99,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14887,-1684.6398,615.2848,31.415363,55,OutsideTunnel,nexa,76561197999825422,t,weapon_p250,2
ct,false,t,14887,-1800.2811,1357.6343,40.268227,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,true,t,14890,-1563.2954,1220.4624,35.96961,88,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14891,-1799.3925,1357.9722,40.312016,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14896,-1732.2421,480.72998,25.26213,66,OutsideTunnel,nawwk,76561198153651861,t,weapon_glock,2
ct,true,t,14896,-1561.8752,1220.1388,36.02498,88,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14896,-1799.2622,1358.0161,40.318165,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,false,t,14900,-1799.2622,1358.0161,40.318165,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,true,t,14903,-1561.9071,1220.1467,36.023766,81,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14905,-1796.3491,1358.6915,40.441032,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,true,t,14909,-1560.9011,1219.9104,36.06263,81,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14909,-1790.0901,1360.1395,40.78043,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_mp9,2
ct,true,t,14916,-1563.2402,1220.4158,35.97005,81,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,true,t,14922,-1563.6875,1220.5072,35.952095,81,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,true,t,14928,-1564.4243,1220.6455,35.921886,81,UpperTunnel,torzsi,76561198355739212,ct,weapon_m4a1_silencer,2
ct,false,t,14950,-526.52106,1405.9691,-110.96875,100,LowerTunnel,Spinx,76561198063336407,ct,weapon_knife_karambit,2
ct,false,t,15014,802.70605,849.7453,0.03096342,100,LongDoors,Brollan,76561198138828475,ct,weapon_knife_karambit,2
ct,false,t,15032,-1690.2068,1086.7565,31.546238,58,UpperTunnel,Jimpphat,76561198855375325,ct,weapon_knife_karambit,2
ct,false,t,15051,945.73486,835.3225,1.3778605,100,LongDoors,Brollan,76561198138828475,ct,weapon_knife_karambit,2
ct,false,t,15077,1042.6003,805.0032,5.0323863,100,LongDoors,Brollan,76561198138828475,ct,weapon_knife_karambit,2
ct,false,t,16771,296.09976,-431.69366,-0.06567383,100,OutsideLong,nexa,76561197999825422,t,weapon_flashbang,3
ct,false,t,16907,1256.8513,2038.0284,2.0092285,100,LongA,torzsi,76561198355739212,ct,weapon_flashbang,3
ct,false,t,16930,1452.8243,1762.7008,-7.631775,100,LongA,Brollan,76561198138828475,ct,weapon_flashbang,3
ct,false,t,16974,1344.8068,1293.111,-8.489075,100,LongA,xertioN,76561198193174134,ct,weapon_incgrenade,3
ct,false,t,17045,-1126.6676,2343.7937,8.711376,100,BDoors,Jimpphat,76561198855375325,ct,weapon_incgrenade,3
ct,false,t,17077,1260.2726,2038.0308,25.734375,100,LongA,torzsi,76561198355739212,ct,weapon_flashbang,3
ct,false,t,17201,-343.83667,-660.0303,89.567535,100,TSpawn,nawwk,76561198153651861,t,weapon_smokegrenade,3
ct,false,t,17240,1093.5353,849.4412,0.45668554,100,LongDoors,xertioN,76561198193174134,ct,weapon_smokegrenade,3
ct,false,t,17319,1354.8271,1286.6616,-9.127197,100,LongA,Brollan,76561198138828475,ct,weapon_hegrenade,3
ct,false,t,17518,-396.12256,-767.3705,92.21789,100,TSpawn,nawwk,76561198153651861,t,weapon_flashbang,3
ct,false,t,17678,-332.46497,-496.82544,8.487263,100,TopofMid,nawwk,76561198153651861,t,weapon_knife_karambit,3
ct,false,t,17952,-491.96973,-356.37292,0.9017234,100,TopofMid,nawwk,76561198153651861,t,weapon_knife_karambit,3
ct,false,t,17972,-482.16443,1112.5338,-75.15631,100,Middle,CYPHER,76561198251984554,t,weapon_molotov,3
ct,false,t,18285,664.6114,2379.9668,2.996047,100,UnderA,xertioN,76561198193174134,ct,weapon_hegrenade,3
ct,false,t,18437,-520.1588,1065.8358,-61.45923,100,Middle,nexa,76561197999825422,t,weapon_flashbang,3
ct,false,t,18438,-18.401367,1507.3774,0.32040405,100,Catwalk,CYPHER,76561198251984554,t,weapon_molotov,3
ct,false,t,18460,602.4223,2378.3674,67.03125,100,UnderA,xertioN,76561198193174134,ct,weapon_incgrenade,3
ct,false,t,18568,533.2339,2389.8398,127.117165,100,ExtendedA,xertioN,76561198193174134,ct,weapon_mp9,3
ct,false,t,18572,536.4071,2388.8804,127.117165,100,ExtendedA,xertioN,76561198193174134,ct,weapon_mp9,3
ct,false,t,18577,544.6339,2388.2676,127.117165,100,UnderA,xertioN,76561198193174134,ct,weapon_mp9,3
ct,false,t,18581,553.8677,2387.4382,127.03125,100,UnderA,xertioN,76561198193174134,ct,weapon_mp9,3
ct,false,t,18672,-275.02954,1345.4037,-119.46875,100,Middle,nexa,76561197999825422,t,weapon_smokegrenade,3
ct,false,t,18761,-1763.116,991.40234,38.487453,100,UpperTunnel,pr1metapz,76561198158709510,t,weapon_smokegrenade,3
ct,false,t,18923,-1523.7045,2824.4504,7.7612505,100,BombsiteB,Spinx,76561198063336407,ct,weapon_hegrenade,3
ct,false,t,18982,-536.8085,1396.0405,-112.388916,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
ct,false,t,18988,-533.527,1390.3145,-112.23236,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
ct,false,t,18995,-529.36835,1385.3607,-111.339905,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
ct,false,t,19001,-529.7262,1385.2992,-111.437256,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
ct,false,t,19007,-530.7062,1385.3049,-111.70386,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
ct,false,t,19014,-530.4383,1384.2261,-111.63098,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
ct,false,t,19020,-529.87537,1383.8093,-111.477844,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
ct,false,t,19027,-529.87537,1383.8093,-111.477844,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
ct,false,t,19033,-528.18915,1382.6868,-111.01904,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
ct,false,t,19039,-526.60394,1382.3218,-110.96875,100,LowerTunnel,CacaNito,76561198263656468,t,weapon_ak47,3
