ct_side,silenced,t_side,tick,player_X,player_Y,player_Z,player_health,player_place,player_name,player_steamid,player_side,weapon,round_num
ct,false,t,1267,1136.0,-64.0,-164.49915,100,TSpawn,Jimpphat,76561198855375325,t,weapon_knife_karambit,1
ct,true,t,1432,-1698.1722,-1395.739,-258.63733,100,CTSpawn,flameZ,76561197978835160,ct,weapon_usp_silencer,1
ct,false,t,1442,-1571.8914,-1217.5404,-258.1825,100,CTSpawn,apEX,76561197989744167,ct,weapon_knife_outdoor,1
ct,false,t,1467,-1561.2739,-1121.9016,-235.74182,100,CTSpawn,apEX,76561197989744167,ct,weapon_knife_outdoor,1
ct,false,t,1493,-1555.1677,-1022.8715,-211.18567,100,CTSpawn,apEX,76561197989744167,ct,weapon_knife_outdoor,1
ct,false,t,1519,-1491.6289,-952.4323,-165.84375,100,CTSpawn,apEX,76561197989744167,ct,weapon_knife_outdoor,1
ct,false,t,1718,-1917.2665,-306.11322,-116.171875,100,Shop,ropz,76561197991272318,ct,weapon_knife_skeleton,1
ct,false,t,1814,-1977.4727,-108.90222,-165.71875,100,BombsiteB,flameZ,76561197978835160,ct,weapon_knife_skeleton,1
ct,false,t,1840,-2013.7266,-27.06128,-165.71875,100,BombsiteB,flameZ,76561197978835160,ct,weapon_knife_skeleton,1
ct,false,t,1866,-2049.2603,68.021255,-159.96875,100,BombsiteB,flameZ,76561197978835160,ct,weapon_knife_skeleton,1
ct,false,t,3805,-968.03394,-394.04126,-338.94446,100,Underpass,Brollan,76561198138828475,t,weapon_molotov,1
ct,false,t,3881,-1024.572,-431.35828,-320.28595,100,Underpass,Brollan,76561198138828475,t,weapon_smokegrenade,1
ct,false,t,4001,-842.88495,-1334.518,-167.96875,100,Jungle,mezii,76561197973140692,ct,weapon_smokegrenade,1
ct,true,t,4077,-947.02155,-72.24603,-167.96875,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,4765,-1237.1744,-856.03174,-129.96875,100,SnipersNest,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,4770,-1181.3604,-1423.7395,-163.10168,100,Jungle,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,4775,-1225.8418,-856.49457,-129.96875,100,SnipersNest,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,4781,-1175.3812,-1426.3318,-163.33734,76,Jungle,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,4785,-1236.7672,-857.5917,-129.96875,100,SnipersNest,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,4792,-1156.2434,-1425.3162,-164.27509,76,Jungle,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,4797,-1246.9777,-858.52386,-129.96875,100,SnipersNest,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,4803,-1134.3276,-1423.0194,-164.81482,76,Jungle,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,4807,-1244.9469,-858.18604,-129.96875,100,SnipersNest,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,4814,-1109.7299,-1419.3416,-165.35522,76,Jungle,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,4845,-1244.8405,-856.0324,-129.96875,100,SnipersNest,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,4930,-752.03375,-97.06738,-161.98065,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,true,t,4946,-752.03375,-97.06738,-161.98065,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,true,t,4963,-752.03516,-96.87134,-161.97589,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,true,t,4966,-1803.4623,-528.4814,-167.96875,100,Shop,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,false,t,5145,-807.49744,-987.7419,-167.96875,100,Middle,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,5145,-1218.33,-1167.1747,-167.96875,82,CTSpawn,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,5156,-802.4232,-986.21075,-167.96875,100,Middle,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,5165,-796.0471,-984.4794,-167.96875,100,Connector,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,5201,-802.6576,-1015.7427,-167.96875,100,Connector,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,5226,151.96765,-1914.3495,-39.96875,100,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5231,87.9695,-2078.6387,-39.96875,100,PalaceInterior,torzsi,76561198355739212,t,weapon_glock,1
ct,false,t,5235,146.17166,-1914.0337,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5243,145.36919,-1915.7566,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5251,142.84966,-1915.0895,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,true,t,5253,-1139.2482,-216.8363,-55.96875,100,Ladder,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,5259,146.75305,-1916.4707,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5266,151.14975,-1918.153,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5274,139.80891,-1914.4801,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5282,127.102516,-1918.6965,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,true,t,5284,-690.54,-1263.4777,-167.96875,76,Connector,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,5290,130.28247,-1924.5559,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5298,120.75877,-1923.827,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,true,t,5299,-1127.6539,-210.4112,-55.96875,100,Ladder,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,5300,-804.8323,-1231.6427,-167.4375,100,Connector,Brollan,76561198138828475,t,weapon_glock,1
ct,true,t,5301,-672.6672,-1209.0991,-167.96875,76,Connector,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,5302,-1267.5044,-1360.8241,-165.73462,82,CTSpawn,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,5309,-799.79425,-1234.387,-167.96875,100,Connector,Brollan,76561198138828475,t,weapon_glock,1
ct,true,t,5315,-670.07074,-1164.2726,-167.96875,76,Connector,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,5316,-1272.7462,-1354.2432,-166.36182,82,CTSpawn,Spinx,76561198063336407,t,weapon_glock,1
ct,false,t,5319,-801.75006,-1220.3789,-167.96875,100,Connector,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,5328,-802.15576,-1215.506,-167.96875,100,Connector,Brollan,76561198138828475,t,weapon_glock,1
ct,false,t,5328,-1272.5474,-1356.5637,-166.11359,82,CTSpawn,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,5328,-657.684,-1171.4142,-167.96875,76,Connector,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,true,t,5332,-1120.2777,-211.26196,-55.96875,100,Ladder,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,5340,67.02879,-1997.6495,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5340,-1272.8212,-1357.3815,-166.02051,82,CTSpawn,Spinx,76561198063336407,t,weapon_glock,1
ct,true,t,5342,-650.6972,-1178.6229,-167.96875,76,Connector,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,true,t,5356,-1119.4207,-211.37067,-55.96875,100,Ladder,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,5357,77.19994,-1979.1864,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5444,144.21048,-1915.81,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5467,148.07263,-1916.9713,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,false,t,5486,125.90822,-1919.9143,-39.96875,87,PalaceInterior,ZywOo,76561198113666193,ct,weapon_elite,1
ct,true,t,5850,-735.1591,-1218.1068,-167.96875,76,Connector,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,5851,-682.88525,-537.7008,-265.88965,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,5861,-745.0746,-1217.283,-167.96875,76,Connector,mezii,76561197973140692,ct,weapon_usp_silencer,1
ct,false,t,5861,-686.0386,-537.4803,-265.73566,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,false,t,5871,-682.4061,-537.6718,-265.9007,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,false,t,5881,-696.2351,-537.3054,-265.34387,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,false,t,6039,-369.51758,-768.33356,-263.4933,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6048,-881.7472,-390.8645,-162.52942,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,6051,-346.39587,-770.5072,-265.12305,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6060,-872.6385,-375.48096,-163.49292,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,6064,-343.45972,-778.05096,-264.49884,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,false,t,6157,-169.07898,-754.3489,-227.42578,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6159,-842.4744,-267.3617,-167.15265,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,6168,-157.75781,-753.4061,-225.01892,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,false,t,6177,-152.15198,-749.661,-223.82715,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6180,-821.6091,-239.534,-161.57007,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,6196,-155.51282,-754.0194,-224.54163,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6204,-796.7073,-207.08862,-159.96875,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,6208,-153.5047,-751.7379,-224.11475,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,false,t,6223,-151.8634,-749.82446,-223.76575,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6346,-844.6295,-273.13513,-167.11218,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,6351,-121.815674,-742.7633,-220.18701,100,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6359,-840.8266,-267.11255,-167.06079,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,6363,-105.99927,-732.0975,-220.76898,85,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,false,t,6375,-104.28168,-731.2929,-220.52081,85,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6378,-842.5757,-269.7483,-167.13593,100,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,6391,-113.23181,-745.30035,-216.99152,85,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6394,-840.5288,-266.47162,-166.97571,90,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,false,t,6402,-112.52228,-744.2401,-217.41125,85,Middle,Jimpphat,76561198855375325,t,weapon_glock,1
ct,true,t,6412,-852.4014,-284.61023,-167.0318,90,Catwalk,ropz,76561197991272318,ct,weapon_usp_silencer,1
ct,true,t,6493,-598.77765,-1173.2109,-167.96875,100,Connector,apEX,76561197989744167,ct,weapon_usp_silencer,1
ct,false,t,8072,-1617.2614,-1612.0275,-264.1767,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_knife_karambit,2
ct,false,t,8097,-1597.4937,-1516.3922,-263.72144,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_knife_karambit,2
ct,false,t,8123,-1576.9526,-1416.9276,-263.99445,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_knife_karambit,2
ct,true,t,8150,-1702.0817,-1423.121,-258.15918,100,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,2
ct,false,t,8235,-1629.0426,-1200.8273,-253.45984,100,CTSpawn,ropz,76561197991272318,ct,weapon_knife_skeleton,2
ct,false,t,8262,-955.32135,-2370.8733,-167.96875,100,CTSpawn,flameZ,76561197978835160,ct,weapon_incgrenade,2
ct,false,t,8291,-1342.5162,-971.95197,-167.96875,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_knife_karambit,2
ct,false,t,8341,-828.37335,-2266.336,-175.56494,100,CTSpawn,flameZ,76561197978835160,ct,weapon_smokegrenade,2
ct,false,t,8342,398.63803,787.693,-135.96875,100,House,Brollan,76561198138828475,t,weapon_knife_karambit,2
ct,false,t,8368,300.7317,803.9183,-135.96875,100,House,Brollan,76561198138828475,t,weapon_knife_karambit,2
ct,true,t,8381,-1730.912,-640.28345,-167.96875,100,Shop,mezii,76561197973140692,ct,weapon_usp_silencer,2
ct,false,t,8393,203.20018,808.54895,-135.96875,100,House,Brollan,76561198138828475,t,weapon_knife_karambit,2
ct,false,t,8419,101.646965,809.7164,-135.96875,100,House,Brollan,76561198138828475,t,weapon_knife_karambit,2
ct,false,t,8445,0.084537506,809.8077,-135.96875,100,House,Brollan,76561198138828475,t,weapon_knife_karambit,2
ct,false,t,8470,-97.26257,805.58887,-135.96875,100,House,Brollan,76561198138828475,t,weapon_knife_karambit,2
ct,false,t,8496,-188.30151,762.9357,-133.68616,100,BackAlley,Brollan,76561198138828475,t,weapon_knife_karambit,2
ct,false,t,8514,-770.106,-2196.0488,-179.96875,100,BombsiteA,apEX,76561197989744167,ct,weapon_flashbang,2
ct,false,t,8521,-262.66327,699.6667,-92.131714,100,BackAlley,Brollan,76561198138828475,t,weapon_knife_karambit,2
ct,false,t,8547,-339.24725,632.9682,-79.811646,100,BackAlley,Brollan,76561198138828475,t,weapon_knife_karambit,2
ct,false,t,8592,-1737.5529,-32.98242,-168.62268,100,BombsiteB,ropz,76561197991272318,ct,weapon_knife_skeleton,2
ct,false,t,8703,-2029.4926,437.88052,-159.96875,100,BombsiteB,mezii,76561197973140692,ct,weapon_hegrenade,2
ct,false,t,8773,-1435.9688,356.0313,-167.72406,100,BombsiteB,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,8779,-1435.9688,356.0313,-167.72406,100,BombsiteB,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,8785,-1435.9688,356.0313,-167.72406,100,BombsiteB,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,8790,-1435.9688,356.0313,-167.72406,100,BombsiteB,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,8796,-1435.9688,356.0313,-167.72406,100,BombsiteB,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,8802,-1435.9688,356.0313,-167.72406,100,BombsiteB,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,8808,-1435.9688,356.0313,-167.72406,100,BombsiteB,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,8813,-1435.9688,356.0313,-167.72406,100,BombsiteB,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,8819,-1435.9688,356.0313,-167.72406,100,BombsiteB,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,8960,-910.4772,-736.0908,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,8966,-910.10376,-736.08966,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,8966,-1010.24365,-158.85254,-367.96875,72,Underpass,xertioN,76561198193174134,t,weapon_glock,2
ct,false,t,8972,-910.10376,-736.08966,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,8976,-1001.6288,-159.76147,-367.96875,44,Underpass,xertioN,76561198193174134,t,weapon_glock,2
ct,false,t,8977,-910.10376,-736.08966,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,8983,-913.66565,-736.6636,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,8985,-978.6998,-363.02637,-354.4519,100,Underpass,Brollan,76561198138828475,t,weapon_glock,2
ct,false,t,8989,-923.92865,-738.2886,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,8996,-987.2945,-380.36414,-345.78296,100,Underpass,Brollan,76561198138828475,t,weapon_glock,2
ct,false,t,9002,-935.41644,-740.08215,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9006,-1002.90826,-389.21582,-341.35718,100,Underpass,Brollan,76561198138828475,t,weapon_glock,2
ct,false,t,9007,-937.06934,-740.317,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9013,-945.0358,-741.63916,-262.52222,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9019,-946.832,-741.9347,-263.48938,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9025,-946.62146,-741.8985,-263.3761,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9030,-943.7443,-741.53314,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9045,202.25095,-434.71423,-166.84198,100,TopofMid,Spinx,76561198063336407,t,weapon_glock,2
ct,false,t,9059,197.28337,-448.4165,-166.85242,100,TopofMid,Spinx,76561198063336407,t,weapon_glock,2
ct,false,t,9067,-889.61743,-692.26385,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9073,-886.5442,-690.02625,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9073,192.59554,-433.49084,-167.24268,90,TopofMid,Spinx,76561198063336407,t,weapon_glock,2
ct,false,t,9094,186.44313,-430.2851,-167.47913,90,TopofMid,Spinx,76561198063336407,t,weapon_glock,2
ct,false,t,9103,-883.34607,-698.4582,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9108,-883.1992,-699.1674,-261.94678,100,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9108,183.25294,-417.49792,-167.54858,90,TopofMid,Spinx,76561198063336407,t,weapon_glock,2
ct,false,t,9122,188.70992,-438.98578,-167.336,90,TopofMid,Spinx,76561198063336407,t,weapon_glock,2
ct,false,t,9131,-887.1834,-682.26105,-261.94678,61,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9137,-887.6094,-680.279,-261.94678,61,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9137,191.5403,-460.63293,-166.94263,63,TopofMid,Spinx,76561198063336407,t,weapon_glock,2
ct,false,t,9152,-860.9211,-316.70288,-166.12659,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9152,-889.8973,-668.8452,-261.94678,61,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9157,-860.9573,-316.60205,-166.13086,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9158,-890.21246,-667.3063,-261.94678,61,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9163,-860.9716,-316.70337,-166.12659,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9165,499.14777,-442.85455,-160.12524,45,TopofMid,torzsi,76561198355739212,t,weapon_glock,2
ct,false,t,9176,-861.5056,-322.43848,-165.88342,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9178,-894.63025,-643.0945,-261.94678,61,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9181,503.53387,-473.42957,-159.98376,12,TopofMid,torzsi,76561198355739212,t,weapon_glock,2
ct,false,t,9182,-861.08746,-318.14783,-166.0653,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9184,-894.652,-643.0362,-261.94678,61,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9187,-860.4729,-312.23816,-166.31586,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9190,-894.652,-643.0362,-261.94678,61,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9193,-860.2856,-310.31274,-166.39746,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9195,-894.652,-643.0362,-261.94678,61,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9198,470.84988,-457.4912,-159.96875,100,TopofMid,Jimpphat,76561198855375325,t,weapon_deagle,2
ct,false,t,9199,-860.25214,-310.04138,-166.409,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9201,-894.652,-643.0362,-261.94678,30,Middle,ZywOo,76561198113666193,ct,weapon_famas,2
ct,false,t,9217,473.1076,-474.87122,-160.10693,100,TopofMid,Jimpphat,76561198855375325,t,weapon_deagle,2
ct,false,t,9223,-860.6105,-312.90308,-166.28766,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9229,-860.6958,-313.39905,-166.26666,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9234,-860.6242,-312.86328,-166.28937,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9240,-860.6242,-312.86328,-166.28937,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9246,-860.6242,-312.86328,-166.28937,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9252,-860.6242,-312.86328,-166.28937,100,Catwalk,ropz,76561197991272318,ct,weapon_m4a1,2
ct,false,t,9311,-76.5224,-1760.0647,-167.96875,100,BombsiteA,flameZ,76561197978835160,ct,weapon_knife_skeleton,2
ct,false,t,9344,21.864016,-1691.8827,-167.96875,100,BombsiteA,flameZ,76561197978835160,ct,weapon_knife_skeleton,2
ct,false,t,9379,138.21286,-1626.9119,-168.47742,100,BombsiteA,flameZ,76561197978835160,ct,weapon_knife_skeleton,2
ct,true,t,9396,-643.5731,-1228.4094,-167.96875,100,Connector,apEX,76561197989744167,ct,weapon_usp_silencer,2
ct,true,t,9412,-646.6394,-1259.25,-167.96875,100,Connector,apEX,76561197989744167,ct,weapon_usp_silencer,2
ct,false,t,9551,-1693.5648,-673.0539,-126.578125,100,Shop,mezii,76561197973140692,ct,weapon_knife_karambit,2
ct,false,t,10845,1295.9802,-352.00214,-163.39062,100,TSpawn,Jimpphat,76561198855375325,t,weapon_smokegrenade,3
ct,true,t,10907,-1703.78,-1601.5707,-264.0102,100,CTSpawn,apEX,76561197989744167,ct,weapon_usp_silencer,3
ct,true,t,10942,-1703.3529,-1473.4862,-258.2522,100,CTSpawn,apEX,76561197989744167,ct,weapon_usp_silencer,3
ct,true,t,10989,-1700.8997,-1440.1488,-258.28088,100,CTSpawn,mezii,76561197973140692,ct,weapon_usp_silencer,3
ct,false,t,11039,1422.9685,36.46875,-167.96875,100,TSpawn,torzsi,76561198355739212,t,weapon_smokegrenade,3
ct,false,t,11077,-940.34985,-2375.7942,-167.96875,100,CTSpawn,ZywOo,76561198113666193,ct,weapon_incgrenade,3
ct,false,t,11164,-769.6086,-2219.2117,-166.07812,100,BombsiteA,ZywOo,76561198113666193,ct,weapon_flashbang,3
ct,true,t,11219,-1738.8824,-644.7665,-167.96875,100,Shop,mezii,76561197973140692,ct,weapon_usp_silencer,3
ct,false,t,11250,-749.9437,-2170.0132,-179.96875,100,BombsiteA,ZywOo,76561198113666193,ct,weapon_flashbang,3
ct,false,t,11345,277.37106,-176.94281,-167.91321,100,TopofMid,xertioN,76561198193174134,t,weapon_molotov,3
ct,false,t,11431,-978.9289,-33.519836,-367.96875,100,Underpass,flameZ,76561197978835160,ct,weapon_flashbang,3
ct,false,t,11723,-648.9236,612.85913,-79.44849,100,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11730,-652.8192,608.76697,-79.617065,100,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11736,-657.79443,603.6539,-79.94653,100,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11742,-662.8159,598.4318,-80.29254,100,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11744,-431.39502,367.8778,-116.892456,14,Underpass,flameZ,76561197978835160,ct,weapon_mp9,3
ct,false,t,11749,-430.45166,368.9033,-116.26355,14,Underpass,flameZ,76561197978835160,ct,weapon_mp9,3
ct,false,t,11749,-664.2515,595.61896,-80.46887,100,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11753,-432.03058,367.43475,-117.31616,14,Underpass,flameZ,76561197978835160,ct,weapon_mp9,3
ct,false,t,11755,-664.2515,595.61896,-80.46887,91,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11758,-434.18054,365.36877,-118.74951,14,Underpass,flameZ,76561197978835160,ct,weapon_mp9,3
ct,false,t,11762,-436.01538,363.5407,-119.97266,14,Underpass,flameZ,76561197978835160,ct,weapon_mp9,3
ct,false,t,11762,-663.862,595.9847,-80.444336,82,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11767,-438.3954,361.16602,-121.559326,14,Underpass,flameZ,76561197978835160,ct,weapon_mp9,3
ct,false,t,11768,-662.2277,597.5173,-80.34149,82,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11771,-440.42126,359.18564,-122.90997,14,Underpass,flameZ,76561197978835160,ct,weapon_mp9,3
ct,false,t,11774,-663.5451,596.2664,-80.42529,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11781,-663.5451,596.2664,-80.42529,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11787,-663.5451,596.2664,-80.42529,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11794,-663.5451,596.2664,-80.42529,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11800,-662.01953,597.87384,-80.31897,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,11896,502.96967,-64.02887,-160.00195,100,TopofMid,Brollan,76561198138828475,t,weapon_smokegrenade,3
ct,false,t,12079,435.16467,-267.98438,-159.96875,100,TopofMid,Brollan,76561198138828475,t,weapon_molotov,3
ct,false,t,12257,-131.41528,792.5764,-135.96875,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,12264,-129.11346,792.59265,-135.96875,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,12270,-130.56598,793.8007,-135.96875,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,12276,-130.56598,793.8007,-135.96875,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
ct,false,t,12281,-382.47705,439.04083,-84.28052,19,Underpass,ropz,76561197991272318,ct,weapon_m4a1,3
ct,false,t,12283,-130.56598,793.8007,-135.96875,43,BackAlley,Spinx,76561198063336407,t,weapon_ak47,3
